"(827, 0.8074120283126831)","(760, 0.8038467764854431)","(729, 0.7980620861053467)","(106, 0.7909030318260193)","(481, 0.7862435579299927)"
"(107, 0.8155105113983154)","(504, 0.7980924248695374)","(333, 0.7728716731071472)","(1369, 0.7345869541168213)","(238, 0.7343631982803345)"
"(108, 0.9329226016998291)","(766, 0.8933154940605164)","(826, 0.8893061280250549)","(1182, 0.869905948638916)","(269, 0.8688338994979858)"
"(529, 0.8997044563293457)","(109, 0.8711295127868652)","(749, 0.8478420972824097)","(506, 0.8326444625854492)","(161, 0.8198813199996948)"
"(562, 0.9407716989517212)","(341, 0.904813289642334)","(110, 0.8747472763061523)","(904, 0.8743388652801514)","(1782, 0.8661476373672485)"
"(111, 0.8846802115440369)","(212, 0.7232496738433838)","(56, 0.7175235748291016)","(1587, 0.6969298124313354)","(149, 0.6897329092025757)"
"(112, 0.9357702136039734)","(1475, 0.9349002838134766)","(1585, 0.9331613779067993)","(209, 0.931698739528656)","(1124, 0.9217671155929565)"
"(691, 0.8696873188018799)","(1473, 0.8630585670471191)","(1445, 0.8630548715591431)","(1088, 0.8609524965286255)","(422, 0.8598331212997437)"
"(882, 0.8920876979827881)","(114, 0.891131579875946)","(284, 0.8905208110809326)","(1932, 0.8894927501678467)","(690, 0.880401611328125)"
"(115, 0.9309719800949097)","(1163, 0.9193249940872192)","(314, 0.911008894443512)","(1721, 0.9107807278633118)","(175, 0.9098484516143799)"
"(116, 0.9292881488800049)","(1755, 0.9095706939697266)","(1075, 0.9034270644187927)","(1364, 0.8990558385848999)","(1088, 0.8726357221603394)"
"(1800, 0.9451525211334229)","(117, 0.9441707730293274)","(1207, 0.9437682032585144)","(817, 0.9344205856323242)","(243, 0.9322150945663452)"
"(338, 0.9144244194030762)","(56, 0.9010752439498901)","(118, 0.8953955173492432)","(212, 0.8762005567550659)","(883, 0.8761928081512451)"
"(119, 0.7474098205566406)","(1655, 0.7306240200996399)","(306, 0.7020305395126343)","(1123, 0.6781884431838989)","(94, 0.6566749811172485)"
"(883, 0.9552263617515564)","(120, 0.9455306529998779)","(631, 0.942092776298523)","(118, 0.9364644289016724)","(1680, 0.9346213340759277)"
"(121, 0.7774380445480347)","(1709, 0.760398805141449)","(827, 0.7266175746917725)","(1093, 0.7060757875442505)","(586, 0.6877047419548035)"
"(122, 0.9360108375549316)","(195, 0.8820749521255493)","(1043, 0.8708347082138062)","(1823, 0.8677140474319458)","(370, 0.8675614595413208)"
"(123, 0.8949657678604126)","(1932, 0.8722696304321289)","(1912, 0.8675716519355774)","(209, 0.866907000541687)","(1248, 0.8304663896560669)"
"(1561, 0.8729364275932312)","(1662, 0.870161771774292)","(671, 0.8457263708114624)","(570, 0.8399547338485718)","(165, 0.8389313817024231)"
"(1700, 0.9211252927780151)","(826, 0.9102015495300293)","(418, 0.9044287800788879)","(997, 0.9019351601600647)","(150, 0.8953033089637756)"
"(207, 0.9045436382293701)","(126, 0.9001796841621399)","(1483, 0.8603696227073669)","(41, 0.8392900228500366)","(962, 0.8304998874664307)"
"(127, 0.891425609588623)","(57, 0.8638024926185608)","(951, 0.8543274402618408)","(633, 0.8509601354598999)","(101, 0.8497648239135742)"
"(128, 0.8725260496139526)","(1600, 0.8400884866714478)","(986, 0.8306153416633606)","(902, 0.8279616832733154)","(55, 0.8254295587539673)"
"(1821, 0.9042419791221619)","(1767, 0.8889682292938232)","(129, 0.8888244032859802)","(1294, 0.8791524171829224)","(1543, 0.8764748573303223)"
"(111, 0.8296192288398743)","(149, 0.8170509338378906)","(56, 0.7765228152275085)","(1150, 0.7394485473632812)","(1587, 0.7273896932601929)"
"(623, 0.7472758293151855)","(131, 0.7000972032546997)","(929, 0.6221741437911987)","(1278, 0.6064026355743408)","(49, 0.5736104846000671)"
"(1650, 0.9085202217102051)","(354, 0.8978294134140015)","(1671, 0.894477367401123)","(180, 0.8770920038223267)","(900, 0.8719838261604309)"
"(45, 0.9576947689056396)","(279, 0.9555424451828003)","(1223, 0.9535777568817139)","(541, 0.9529464244842529)","(1103, 0.9518911838531494)"
"(134, 0.8954746723175049)","(798, 0.8702797889709473)","(16, 0.8307491540908813)","(883, 0.8285548686981201)","(810, 0.8251040577888489)"
"(1730, 0.924173891544342)","(135, 0.8916465044021606)","(758, 0.8746429681777954)","(383, 0.8716505169868469)","(69, 0.8665754795074463)"
"(1874, 0.8918342590332031)","(175, 0.8895591497421265)","(1914, 0.8805323839187622)","(121, 0.8712805509567261)","(1599, 0.8666987419128418)"
"(137, 0.915198802947998)","(716, 0.9037821888923645)","(50, 0.8653688430786133)","(383, 0.8571715354919434)","(1898, 0.8525065183639526)"
"(145, 0.9164830446243286)","(811, 0.9152740240097046)","(138, 0.9150378108024597)","(913, 0.9139487743377686)","(246, 0.9102371335029602)"
"(139, 0.9178866147994995)","(434, 0.8118547201156616)","(652, 0.8003701567649841)","(266, 0.7647272944450378)","(919, 0.7566108703613281)"
"(938, 0.8626257181167603)","(279, 0.8617331981658936)","(211, 0.8601031303405762)","(1950, 0.8583114147186279)","(1914, 0.8541361689567566)"
"(141, 0.8971608877182007)","(374, 0.843280553817749)","(1321, 0.8412595987319946)","(1424, 0.8347750902175903)","(21, 0.83207106590271)"
"(1119, 0.8239110708236694)","(1294, 0.8220599889755249)","(60, 0.8214141130447388)","(1502, 0.8098053932189941)","(267, 0.7929652333259583)"
"(143, 0.9643091559410095)","(1427, 0.9261126518249512)","(497, 0.9171991348266602)","(224, 0.8881897926330566)","(1146, 0.8738448023796082)"
"(899, 0.8146883249282837)","(144, 0.8091084361076355)","(981, 0.8024399280548096)","(189, 0.7957276701927185)","(1418, 0.7840089797973633)"
"(145, 0.9593938589096069)","(811, 0.9226224422454834)","(913, 0.918364942073822)","(1596, 0.8958035707473755)","(187, 0.8932708501815796)"
"(451, 0.8655874729156494)","(467, 0.7675620913505554)","(839, 0.7647974491119385)","(329, 0.75673508644104)","(915, 0.7356561422348022)"
"(321, 0.9274948835372925)","(147, 0.9222226142883301)","(1124, 0.9178094863891602)","(1045, 0.9177585244178772)","(1585, 0.9092708230018616)"
"(148, 0.8936377167701721)","(299, 0.8279211521148682)","(926, 0.8261394500732422)","(1693, 0.7638376951217651)","(276, 0.7254086136817932)"
"(149, 0.8629469871520996)","(488, 0.6729145050048828)","(1662, 0.6699227094650269)","(1561, 0.6225011348724365)","(570, 0.6222798228263855)"
"(358, 0.854958713054657)","(150, 0.8491882681846619)","(48, 0.8392555713653564)","(1700, 0.8238989114761353)","(1142, 0.8186867237091064)"
"(151, 0.8810526728630066)","(1430, 0.7265313863754272)","(35, 0.7085963487625122)","(617, 0.7047828435897827)","(648, 0.7008825540542603)"
"(1096, 0.783299446105957)","(152, 0.7778424024581909)","(904, 0.7648526430130005)","(1879, 0.7588139772415161)","(1782, 0.7559977769851685)"
"(409, 0.9284931421279907)","(726, 0.9138739109039307)","(153, 0.912967324256897)","(1524, 0.9103721380233765)","(883, 0.9007041454315186)"
"(1119, 0.8932985067367554)","(75, 0.8501916527748108)","(1522, 0.8490879535675049)","(79, 0.8467336893081665)","(154, 0.8425226211547852)"
"(155, 0.9231336712837219)","(758, 0.7732887864112854)","(600, 0.7077032327651978)","(231, 0.7040828466415405)","(346, 0.6759685277938843)"
"(899, 0.8468242883682251)","(64, 0.8334220051765442)","(1762, 0.8320512175559998)","(156, 0.8316256999969482)","(721, 0.8062129020690918)"
"(1545, 0.7998538017272949)","(667, 0.7656341791152954)","(1043, 0.7509676218032837)","(454, 0.7438197731971741)","(1504, 0.7233520150184631)"
"(983, 0.9045894145965576)","(213, 0.8968915939331055)","(214, 0.8961293697357178)","(283, 0.8924516439437866)","(444, 0.8918224573135376)"
"(159, 0.9199411869049072)","(1691, 0.8581739664077759)","(525, 0.8476595282554626)","(43, 0.8449475169181824)","(1597, 0.8270882368087769)"
"(160, 0.8891255855560303)","(790, 0.8292309045791626)","(340, 0.8176213502883911)","(727, 0.797012209892273)","(251, 0.7903765439987183)"
"(161, 0.929121196269989)","(877, 0.9094892144203186)","(1615, 0.9025453925132751)","(709, 0.8978649377822876)","(415, 0.8882743716239929)"
"(1450, 0.9316666126251221)","(400, 0.9217697978019714)","(1579, 0.9210849404335022)","(1102, 0.9199219942092896)","(1944, 0.9184255599975586)"
"(163, 0.8881685733795166)","(1504, 0.8814029693603516)","(428, 0.8756945133209229)","(63, 0.7983757853507996)","(687, 0.7896154522895813)"
"(164, 0.9447455406188965)","(1179, 0.9369297623634338)","(1633, 0.9338554739952087)","(1501, 0.9085766077041626)","(1957, 0.9077224731445312)"
"(671, 0.8063766956329346)","(165, 0.7867317199707031)","(100, 0.7390903830528259)","(1551, 0.7270745038986206)","(1661, 0.7139211893081665)"
"(166, 0.8694117069244385)","(1951, 0.6163036823272705)","(981, 0.582243025302887)","(1080, 0.5619608759880066)","(1129, 0.559569776058197)"
"(167, 0.8774063587188721)","(605, 0.8737494945526123)","(1732, 0.8392477035522461)","(881, 0.8219287395477295)","(1691, 0.8186740875244141)"
"(168, 0.9077649116516113)","(29, 0.8642812967300415)","(1508, 0.8282523155212402)","(503, 0.8207579851150513)","(1484, 0.8011601567268372)"
